"","fips","county","year","chemical_species","WtdAvgValue"
"1",6001,"Alameda",2000,"Arsenic",1.01427136450712
"2",6001,"Alameda",2000,"DEHP",1.5
"3",6001,"Alameda",2000,"Nitrates",0.347241136722759
"4",6001,"Alameda",2000,"Uranium",1.61737416987067
"5",6001,"Alameda",2001,"Arsenic",1.01428348115405
"6",6001,"Alameda",2001,"DEHP",1.5
"7",6001,"Alameda",2001,"Nitrates",0.370584589864825
"8",6001,"Alameda",2001,"Uranium",0.640457012402516
"9",6001,"Alameda",2002,"Arsenic",1.00631225801554
"10",6001,"Alameda",2002,"DEHP",1.56127390485799
"11",6001,"Alameda",2002,"Nitrates",0.489199982622322
"12",6001,"Alameda",2002,"Uranium",1.90009193547697
"13",6001,"Alameda",2003,"Arsenic",1
"14",6001,"Alameda",2003,"DEHP",1.5
"15",6001,"Alameda",2003,"Nitrates",0.477853147631867
"16",6001,"Alameda",2003,"Uranium",0.777384665701473
"17",6001,"Alameda",2004,"Arsenic",1.00142841945387
"18",6001,"Alameda",2004,"DEHP",1.5
"19",6001,"Alameda",2004,"Nitrates",0.504301684486277
"20",6001,"Alameda",2004,"Uranium",1.28055784284804
"21",6001,"Alameda",2005,"Arsenic",1.00938192397405
"22",6001,"Alameda",2005,"DEHP",1.5
"23",6001,"Alameda",2005,"Nitrates",0.553188924338082
"24",6001,"Alameda",2005,"Uranium",0.845939809688426
"25",6001,"Alameda",2006,"Arsenic",1.0031423407442
"26",6001,"Alameda",2006,"DEHP",1.5
"27",6001,"Alameda",2006,"Nitrates",0.557768865891762
"28",6001,"Alameda",2006,"Uranium",0.809542502253464
"29",6001,"Alameda",2007,"Arsenic",1.02238020076268
"30",6001,"Alameda",2007,"DEHP",1.5
"31",6001,"Alameda",2007,"Nitrates",0.484599573718747
"32",6001,"Alameda",2007,"Uranium",0.629510148441161
"33",6001,"Alameda",2008,"Arsenic",1
"34",6001,"Alameda",2008,"DEHP",1.5
"35",6001,"Alameda",2008,"Nitrates",0.400902497679752
"36",6001,"Alameda",2008,"Uranium",0.5
"37",6001,"Alameda",2009,"Arsenic",1
"38",6001,"Alameda",2009,"DEHP",1.5
"39",6001,"Alameda",2009,"Nitrates",0.355334296361888
