"","County","FIPS","Year","Arsenic","DEHP","Nitrates","Uranium","% Fair/Poor","Physically Unhealthy Days","Mentally Unhealthy Days","% LBW","% Children in Poverty","Population","LandArea","Density","LBL_Label","Poverty_Label","PoorHealthLabel"
"1","Alameda",6001,2010,1,1.5,0.334264571722751,0.5,14,3.1,3.5,7,14,1515338,739.02,2050.46954074315,1,0,0
"2","Alameda",6001,2011,1.0003954260391,2.38345692414872,0.333732956613476,0.866045516958974,14.3,3,3.3,7.07,12.9,1531942,739.02,2072.93713295987,1,0,0
"3","Alameda",6001,2012,1,1.5,0.374954373726536,1.09150730094674,15.1,3.1,3.4,7.1,17.2,1554446,739.02,2103.38827095343,1,0,0
"4","Alameda",6001,2013,1,1.5,0.480915695218787,NA,13.4,2.7,7.1,7.1,16.8,1575797,739.02,2132.27923466212,1,0,0
"5","Alameda",6001,2014,1,1.5,0.427611646111393,NA,14.5,3,3.2,7.2,17.3,1599685,739.02,2164.60312305486,1,0,0
"6","Alameda",6001,2015,0.994571718195641,1.5,0.383419756214284,0.403554363725012,14.5,3,3.2,7.250089991,15.4,1619679,739.02,2191.65787123488,1,0,0
"7","Alameda",6001,2016,1,1.5,0.38616993478775,2.13310390460668,13,3.4,3.3,7.24314432,14.3,1637712,739.02,2216.05910530162,1,0,0
"8","Alpine",6003,2010,1,1.5,0.0300367647058824,NA,NA,NA,NA,NA,24,1175,738.33,1.59142930667859,NA,1,NA
"9","Alpine",6003,2011,1,NA,0.02,NA,NA,NA,NA,NA,28.2,1170,738.33,1.5846572670757,NA,1,NA
"10","Alpine",6003,2012,1,NA,0.02,NA,NA,NA,NA,NA,29.2,1166,738.33,1.57923963539339,NA,1,NA
"11","Alpine",6003,2013,1,NA,0.0366997518610422,0.5,NA,NA,NA,NA,29.3,1164,738.33,1.57653081955223,NA,1,NA
"12","Alpine",6003,2014,1,NA,0.0338071605813541,1.66,NA,NA,NA,NA,29.1,1163,738.33,1.57517641163166,NA,1,NA
"13","Alpine",6003,2015,1,NA,0.2385559566787,0.22,NA,NA,NA,NA,31.9,1157,738.33,1.56704996410819,NA,1,NA
"14","Alpine",6003,2016,1,NA,0.209202410492733,NA,15.6,4.2,4.1,NA,28.2,1148,738.33,1.55486029282299,NA,1,0
"15","Amador",6005,2010,1,NA,1.49333423107999,2.25661016949153,18,3.8,3.5,5,14,38069,594.58,64.0267079282855,0,0,0
"16","Amador",6005,2011,1,NA,2.03532605203983,0.559377494014366,19.4,4.6,4.2,4.9,13.6,37894,594.58,63.7323825221164,0,0,1
"17","Amador",6005,2012,NA,NA,2.49059487179487,0.499819616685457,17.5,4.2,4.1,4.8,17,37746,594.58,63.4834673214706,0,0,0
"18","Amador",6005,2013,1,NA,0.0406083870967742,3.31786941580756,11.9,2.9,4.9,4.9,19.3,37582,594.58,63.2076423694036,0,0,0
"19","Amador",6005,2014,1,NA,0.0331335483870968,8.386,17.5,4,4.2,5.3,18.5,37447,594.58,62.9805913417875,0,0,0
"20","Amador",6005,2015,1,NA,0.300063737623762,2.46230769230769,17.5,4,4.2,5.867475974,22.1,37314,594.58,62.756904033099,0,1,0
"21","Amador",6005,2016,1,NA,0.210456102397692,1.42694677871148,12.7,3.5,3.5,6.313645621,18.6,37191,594.58,62.5500353190487,0,0,0
"22","Butte",6007,2010,3.51075305946275,1.5,1.66767350408094,1.09403543307087,14,4,3.6,6,21,220157,1636.46,134.532466421422,0,1,0
"23","Butte",6007,2011,1.040025537156,1.5,1.06001301983218,0.507049065654042,12.9,4,3.8,5.91,26,220551,1636.46,134.773230020899,0,1,0
"24","Butte",6007,2012,1.08286563835718,1.5,1.54801566151001,0.633796310413173,14.2,4.3,4.3,5.9,25.1,221797,1636.46,135.534629627366,0,1,0
"25","Butte",6007,2013,1.4073453813868,NA,1.38093909615812,2.02465346534653,11.8,3.5,5.8,5.8,28,222229,1636.46,135.798614081615,0,1,0
"26","Butte",6007,2014,0.826812499518004,1.5,1.41839021088432,1.03139926648847,17.3,4.5,4.5,5.9,27.1,223899,1636.46,136.819109541327,0,1,0
"27","Butte",6007,2015,1,NA,1.766902936548,0.512719939690916,17.3,4.5,4.5,5.814556561,25,224363,1636.46,137.102648399594,0,1,0
"28","Butte",6007,2016,1.1280693415601,1.5,1.33533477562053,0.473961957560696,15.2,4.2,4.2,5.810629485,24.3,225125,1636.46,137.568287645283,0,1,0
"29","Calaveras",6009,2010,0.974942726231386,NA,0.200389634795682,1.57714285714286,14,4.5,2.3,6,14,45535,1020.01,44.6417191988314,0,0,0
"30","Calaveras",6009,2011,1.00454005727457,NA,0.158380727153871,4.90345695814903,16.4,4,3,5.85,17,45414,1020.01,44.5230929108538,0,0,0
"31","Calaveras",6009,2012,1,NA,0.15112218307657,NA,14.2,4.1,2.9,6.3,18.3,45305,1020.01,44.4162312134195,0,0,0
"32","Calaveras",6009,2013,1,1.5,0.0952275733460546,2.39658848614072,9.7,1.9,5.9,5.9,20.4,45116,1020.01,44.2309389123636,0,1,0
"33","Calaveras",6009,2014,1,NA,0.0714663827198053,12.02,21.4,4.3,4.3,5.5,20.9,45009,1020.01,44.1260379800198,0,1,1
"34","Calaveras",6009,2015,1,NA,0.22169186190166,1.25,21.4,4.3,4.3,5.156683856,21.8,44899,1020.01,44.0181959000402,0,1,1
"35","Calaveras",6009,2016,1,NA,0.269370848259312,0.872607022607023,11.8,3.3,3.5,4.827586207,20.6,44791,1020.01,43.9123145851511,0,1,0
"36","Colusa",6011,2010,8.40875070661391,NA,0.589738479486681,NA,NA,NA,NA,4,19,21465,1150.73,18.6533765522755,0,0,NA
"37","Colusa",6011,2011,6.88848866876782,NA,0.7796361620641,0.5,NA,NA,NA,4.17,19.4,21626,1150.73,18.7932877390874,0,0,NA
"38","Colusa",6011,2012,8.31505158578525,NA,0.6119208984375,NA,NA,3.8,1.7,4.8,22.9,21781,1150.73,18.9279848444031,0,1,NA
"39","Colusa",6011,2013,2.33,NA,0.998299232736573,NA,NA,1.3,5.3,5.3,19.5,21972,1150.73,19.0939664386954,0,0,NA
"40","Colusa",6011,2014,4.5615141955836,NA,0.605842924126172,NA,NA,2.9,2.6,5.5,20.2,22139,1150.73,19.2390917070034,0,1,NA
"41","Colusa",6011,2015,5.80958549222798,NA,0.121245059288538,0.9,NA,2.9,2.6,5.899104963,20,22271,1150.73,19.3538014999174,0,1,NA
"42","Colusa",6011,2016,3.57355679702048,NA,0.641497229326513,2.03473358908781,20.8,4.3,4,6.047879042,19.9,22408,1150.73,19.4728563607449,0,0,1
