"","County","FIPS","Year","Arsenic","DEHP","Nitrates","Uranium","% Fair/Poor","Physically Unhealthy Days","Mentally Unhealthy Days","% LBW","% Children in Poverty","Population","LandArea","Density","LBL_Label","Poverty_Label","PoorHealthLabel"
"1","Alameda",6001,2016,1,1.5,0.38616993478775,2.13310390460668,13,3.4,3.3,7.24314432,14.3,1637712,739.02,2216.05910530162,1,0,0
"2","Alpine",6003,2016,1,NA,0.209202410492733,NA,15.6,4.2,4.1,NA,28.2,1148,738.33,1.55486029282299,NA,1,0
"3","Amador",6005,2016,1,NA,0.210456102397692,1.42694677871148,12.7,3.5,3.5,6.313645621,18.6,37191,594.58,62.5500353190487,0,0,0
"4","Butte",6007,2016,1.1280693415601,1.5,1.33533477562053,0.473961957560696,15.2,4.2,4.2,5.810629485,24.3,225125,1636.46,137.568287645283,0,1,0
"5","Calaveras",6009,2016,1,NA,0.269370848259312,0.872607022607023,11.8,3.3,3.5,4.827586207,20.6,44791,1020.01,43.9123145851511,0,1,0
"6","Colusa",6011,2016,3.57355679702048,NA,0.641497229326513,2.03473358908781,20.8,4.3,4,6.047879042,19.9,22408,1150.73,19.4728563607449,0,0,1
"7","Contra Costa",6013,2016,1.33577081272453,NA,0.237838065627809,5.14563904945408,13.8,3.6,3.5,6.737790314,13.8,1129894,715.94,1578.19649691315,0,0,0
"8","Del Norte",6015,2016,NA,NA,1.25928820655966,NA,17.2,4.3,4,4.892703863,31,27040,1006.37,26.8688454544551,0,1,0
"9","El Dorado",6017,2016,1.01582454192115,1.5,0.0862680288461539,18.7966201032493,11.6,3.4,3.4,6.272401434,13.1,184180,1707.88,107.84130032555,0,0,0
"10","Fresno",6019,2016,1.16683229652931,1.5,4.38268045312896,4.1839935242997,21.8,4.3,4.2,7.613530116,38,989183,5957.99,166.026294102541,1,1,1
"11","Glenn",6021,2016,1.60056022408964,NA,2.62218171443064,0.77139175257732,19.5,4.3,4.1,5.852156058,23.7,29073,1313.95,22.1264127249895,0,1,1
"12","Humboldt",6023,2016,3.18094997473471,NA,0.627038169969411,1.95020408163265,14.7,4.1,4.1,5.467879688,23.9,136086,3567.98,38.1409088615968,0,1,0
"13","Inyo",6027,2016,9.20331010452962,NA,0.412131314272799,22.084913957935,14.1,3.7,3.8,8.403908795,20.2,18649,10180.87,1.83176879775501,1,1,0
"14","Kern",6029,2016,3.99556239942839,1.5,1.77887593141057,3.75012104082333,20.8,4.2,4,7.123828414,32.9,888994,8131.91,109.321672276255,1,1,1
"15","Kings",6031,2016,4.86109580935586,1.5,0.890222291612163,1.11791594892767,21.6,4.4,4,6.380135842,33.8,149407,1389.42,107.531919793871,0,1,1
"16","Lake",6033,2016,2.51267624516792,1.5,0.376333855943927,0.869914082722917,17.9,4.3,4.2,6.060011767,32.3,65128,1256.46,51.8345192047499,0,1,0
"17","Lassen",6035,2016,7.42354579073309,NA,0.944557390739538,4.47832352674934,14.1,3.6,3.6,6.917086578,20.3,30645,4541.18,6.74824605058597,1,1,0
"18","Los Angeles",6037,2016,2.29379234881728,1.5,3.28671590679812,4.53268850162299,20.6,3.9,3.6,7.189267649,26.7,10229245,4057.88,2520.83477086558,1,1,1
"19","Madera",6039,2016,4.91896092427699,1.5,1.23450617751838,28.7815454948465,22.8,4.5,4.2,6.393907191,30.7,155693,2137.07,72.8534863153757,0,1,1
"20","Marin",6041,2016,1.02104064624747,1.5,0.269168666745525,0.179824561403509,10.7,3.1,3.2,6.230619042,10.1,263257,520.31,505.961830447233,0,0,0
"21","Mariposa",6043,2016,1.61933999474099,NA,1.20834503745318,2.77002801120448,13,3.6,3.7,6.102362205,25,18055,1448.82,12.4618655181458,0,1,0
"22","Mendocino",6045,2016,1.33730032616877,1.5,0.274273322490513,0.551959764134582,17.4,4.2,4.2,5.868605557,26.2,88995,3506.34,25.3811666866305,0,1,0
"23","Merced",6047,2016,4.17133100848256,1.5,3.94540605224133,4.57513970455231,22.9,4.7,4.1,6.630142379,35.9,272610,1934.97,140.885905207833,0,1,1
"24","Modoc",6049,2016,4.3,NA,1.51513497989661,4.39,16.4,4.2,4.2,6.885758998,31.3,9469,3917.77,2.41693616521644,1,1,0
"25","Mono",6051,2016,3.55726696115075,NA,0.27835339638865,29.5327586206897,13.9,3.6,3.6,7.943925234,16.2,13785,3048.98,4.52118413371029,1,0,0
"26","Monterey",6053,2016,3.31711014805903,1.5,4.23179428283813,13.7400575736557,19.9,4.1,3.8,5.72920934,25.2,441129,3280.59,134.466361233802,0,1,1
"27","Napa",6055,2016,1.08563873604011,1.5,0.200394888455014,0.81906416615579,14.2,3.5,3.4,6.100674813,12,142269,748.36,190.107702175424,0,0,0
"28","Nevada",6057,2016,1.25048545168334,1.5,0.220825990167888,2.80875582168995,11.5,3.4,3.5,5.711263882,17.6,98552,957.77,102.89735531495,0,0,0
"29","Orange",6059,2016,1.90495958190413,1.5,1.49308541899288,2.64691288052297,12.6,3.4,3.3,6.452573495,17.9,3181371,790.57,4024.14839925623,0,0,0
"30","Placer",6061,2016,1,1.5,0.200912780295188,0.741606391925988,10.9,3.3,3.5,5.749563018,9.7,376092,1407.01,267.298739881024,0,0,0
"31","Plumas",6063,2016,3.31,NA,0.241960381237152,8.19176192209683,13.9,3.8,3.9,6.148590948,21.6,19494,2553.04,7.63560304578072,0,1,0
"32","Riverside",6065,2016,1.80629884451533,1.5,3.22112797534435,7.03807250224551,18.1,4.2,4,6.546531295,23.5,2360727,7206.47,327.584379037171,0,1,1
"33","Sacramento",6067,2016,1.42232979124447,1.5,0.689688866743772,3.16180317265942,15.9,3.9,3.8,6.778178867,23.8,1506677,964.64,1561.90599601924,0,1,0
"34","San Benito",6069,2016,2.82724786324786,1.5,0.296119615346875,6.48429090909091,17.6,3.9,3.6,6.359770752,19.8,58014,1388.71,41.7754606793355,0,0,0
"35","San Bernardino",6071,2016,2.51645802828528,1.5,2.85347580904352,3.74031426909415,20.6,4.3,3.8,7.175817353,28.2,2147933,20056.92,107.091866547805,1,1,1
"36","San Diego",6073,2016,1.22120295597968,1.5,0.436187388264125,5.17638520837292,14.3,3.4,3.6,6.568164258,18.9,3300891,4206.63,784.687742920105,0,0,0
"37","San Francisco",6075,2016,1,NA,0.2,NA,11.2,3.2,3.1,7.089182362,13.6,871185,46.87,18587.2626413484,1,0,0
"38","San Joaquin",6077,2016,2.04553436991332,1.5,1.73524706003286,4.62714868888953,18.5,4,3.8,7.003713071,27.5,738873,1391.32,531.058994336314,1,1,1
"39","San Luis Obispo",6079,2016,2.12563563579787,1.5,1.93636472795497,0.202970297029703,13.1,3.5,3.6,5.872982158,15.6,278917,3298.56,84.557200717889,0,0,0
"40","San Mateo",6081,2016,1.3116606724127,1.5,1.44115881614497,0.86949322061713,11.6,3,3,6.698893971,9.8,768122,448.41,1712.99034365871,0,0,0
"41","Santa Barbara",6083,2016,1.63748837576544,1.5,1.12539278823264,1.66687645148042,16.8,3.9,3.6,6.022156538,22.6,448353,2735.08,163.926832121912,0,1,0
"42","Santa Clara",6085,2016,1.53129677479269,1.5,1.93801490480292,3.63999056259376,11.4,3,2.9,6.850240827,9.3,1930215,1290.1,1496.17471513836,1,0,0
"43","Santa Cruz",6087,2016,1.48167069081533,1.5,0.587077871797586,1.8118375124475,14.3,3.7,3.7,5.816250384,19.1,276249,445.17,620.547206685087,0,0,0
"44","Shasta",6089,2016,1.22745131101931,NA,1.00094524613976,2.25384451544196,14.5,3.9,4,6.137111395,20.3,178208,3775.4,47.2024156380781,0,1,0
"45","Sierra",6091,2016,4.94662162162162,NA,0.2,NA,13.1,3.7,3.8,6.451612903,19,3140,953.21,3.29413245769558,0,0,0
"46","Siskiyou",6093,2016,1.05087767969735,NA,0.304856492478226,2.24,16.5,4.2,4.1,7.459981879,30.3,44372,6277.88,7.06799110527758,1,1,0
"47","Solano",6095,2016,1.97157760060685,1.5,0.314534724078597,0.775826138313131,15.5,3.5,3.6,6.922294766,16.5,434102,821.76,528.258859034268,1,0,0
"48","Sonoma",6097,2016,2.59507546147043,1.5,0.974199827888068,1.59501539082606,13.3,3.4,3.6,5.708775823,13.6,503953,1575.85,319.797569565631,0,0,0
"49","Stanislaus",6099,2016,3.19573328138451,NA,4.90344604573128,8.17976990371233,20.2,4.3,4.1,6.304118834,23.8,545008,1494.83,364.595305151756,0,1,1
"50","Sutter",6101,2016,1.5351067244423,NA,0.672309235398503,3.20443700853271,16.7,3.9,3.8,5.806585645,20.8,98191,602.41,162.996962201823,0,1,0
"51","Tehama",6103,2016,2.01886744590898,NA,1.26872911506417,0.921482296137339,17.3,4.2,4,5.706319703,26.7,64098,2949.71,21.7302717894301,0,1,0
