FIPS,State,County,Year,% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% Children in Poverty
6001,California,Alameda,2010,14,3.1,3.5,7,14
6003,California,Alpine,2010,,,,,24
6005,California,Amador,2010,18,3.8,3.5,5,14
6007,California,Butte,2010,14,4.0,3.6,6,21
6009,California,Calaveras,2010,14,4.5,2.3,6,14
6011,California,Colusa,2010,,,,4,19
6013,California,Contra Costa,2010,14,3.4,3.8,7,12
6015,California,Del Norte,2010,,6.4,6.4,5,31
6017,California,El Dorado,2010,11,2.5,2.8,6,10
6019,California,Fresno,2010,18,4.0,3.4,7,29
6021,California,Glenn,2010,,2.5,5.0,5,23
6023,California,Humboldt,2010,13,4.9,4.1,6,21
6025,California,Imperial,2010,31,4.8,5.1,6,28
6027,California,Inyo,2010,,2.3,4.5,7,16
6029,California,Kern,2010,24,4.6,4.4,7,25
6031,California,Kings,2010,24,3.9,2.9,6,21
6033,California,Lake,2010,19,4.8,3.9,6,27
6035,California,Lassen,2010,,,,7,17
6037,California,Los Angeles,2010,22,3.8,3.8,7,21
6039,California,Madera,2010,32,6.2,4.1,6,24
6041,California,Marin,2010,7,2.9,2.0,6,7
6043,California,Mariposa,2010,,,,6,17
6045,California,Mendocino,2010,13,3.6,3.4,6,22
6047,California,Merced,2010,25,3.9,4.2,6,26
6049,California,Modoc,2010,,,,6,30
6051,California,Mono,2010,,,,8,12
6053,California,Monterey,2010,23,3.4,3.4,6,17
6055,California,Napa,2010,13,3.5,4.1,6,11
6057,California,Nevada,2010,11,2.8,3.4,6,12
6059,California,Orange,2010,15,3.0,3.1,6,12
6061,California,Placer,2010,8,3.3,3.3,6,7
6063,California,Plumas,2010,2,4.7,3.3,6,17
6065,California,Riverside,2010,17,3.7,3.7,6,16
6067,California,Sacramento,2010,13,3.5,4.0,7,18
6069,California,San Benito,2010,16,2.0,3.2,5,12
6071,California,San Bernardino,2010,19,4.0,3.9,7,17
6073,California,San Diego,2010,15,3.3,3.4,6,15
6075,California,San Francisco,2010,13,3.0,3.2,7,13
6077,California,San Joaquin,2010,19,3.8,3.9,7,19
6079,California,San Luis Obispo,2010,12,2.6,4.4,6,12
6081,California,San Mateo,2010,12,3.1,2.7,6,7
6083,California,Santa Barbara,2010,19,3.8,3.5,6,15
6085,California,Santa Clara,2010,14,3.0,2.8,6,10
6087,California,Santa Cruz,2010,16,3.0,3.6,5,14
6089,California,Shasta,2010,12,3.5,3.8,6,21
6091,California,Sierra,2010,,,,,18
6093,California,Siskiyou,2010,,4.2,5.1,7,25
6095,California,Solano,2010,14,3.7,3.4,7,13
6097,California,Sonoma,2010,15,4.1,4.2,5,11
